,T,TM,Tm,H,PP,VV,V,VM,PM2.5
323,22,26.4,19.8,87,0.51,5.8,2.2,5.4,268.1666666666667
324,21.9,26.4,19.6,85,14.22,6.9,2,5.4,278.3333333333333
328,21.4,27.5,17.5,66,0,6.9,0.2,1.9,157.5
330,22.7,28.9,18.6,64,0,6.9,1.3,3.5,200.5
334,21.1,23.8,19.8,91,0,6.3,0.7,5.4,212.125
335,21,23.9,19.6,93,1.02,6.3,0.9,3.5,190.5
336,21.5,24.9,18.9,87,2.79,6.9,0.9,3.5,236.41666666666666
340,22.3,28.7,17.5,70,0,6.3,1.3,5.4,286.375
341,21.5,28.7,17,68,0,6.3,2.2,5.4,288.0833333333333
342,21.4,28.2,18.4,83,0.51,5.8,1.1,3.5,302.4583333333333
346,24.1,30.9,20.4,70,0,6.9,2,5.4,163.0
347,23.6,30.9,19.6,79,0,6.3,2.8,5.4,161.375
348,23.3,29.9,20,71,0,6.3,1.9,3.5,157.375
352,22.4,28.3,18.9,71,0,6.3,2.2,5.4,245.91666666666666
353,22.2,28.4,18.8,73,0,6.9,1.9,5.4,264.5833333333333
354,22.2,28.8,18.3,65,0,6.9,2.4,5.4,253.29166666666666
358,21.8,29.3,16.3,65,0,6.3,1.5,3.5,181.20833333333334
359,21.8,28.2,18.2,67,0,6,2.4,5.4,210.875
360,21.8,27.7,17.9,72,0,5.3,2.8,5.4,255.33333333333334
